,Year,Month,Month_Name,MinTemp,MaxTemp,Rainfall
0,2008,2,February,536.6000000000001,717.8000000000001,258.4
1,2008,3,March,538.3,777.1,63.4
2,2008,4,April,417.19999999999993,645.4999999999999,146.60000000000002
3,2008,5,May,353.3999999999999,636.6,3.0
4,2008,6,June,357.2999999999999,558.2,127.2
5,2008,7,July,1257.7000000000005,2400.2999999999997,206.20000000000002
6,2008,8,August,1286.0,2460.8999999999996,173.80000000000004
7,2008,9,September,1643.1000000000001,2834.9,132.4
8,2008,10,October,1946.8000000000002,3193.500000000001,205.80000000000004
9,2008,11,November,2093.1999999999994,3168.1999999999994,195.8
10,2008,12,December,2237.2999999999993,3313.300000000001,497.19999999999993
11,2009,1,January,2449.6000000000013,3728.0999999999995,437.79999999999995
12,2009,2,February,2229.9999999999986,3251.4999999999986,627.2000000000002
13,2009,3,March,2270.4000000000005,3385.7999999999997,245.20000000000005
14,2009,4,April,1946.4999999999989,3007.400000000001,329.0
15,2009,5,May,1711.6000000000008,2771.0999999999995,199.8
16,2009,6,June,1399.7,2440.3,207.5999999999999
17,2009,7,July,1406.9000000000005,2495.7000000000003,201.59999999999997
18,2009,8,August,1521.3999999999996,2726.6000000000004,102.99999999999999
19,2009,9,September,1737.8000000000002,2839.7,183.19999999999996
20,2009,10,October,1886.2000000000005,3038.6000000000004,253.80000000000004
21,2009,11,November,2333.4999999999995,3531.7000000000025,290.0
22,2009,12,December,2305.3999999999996,3443.500000000001,602.4000000000001
23,2010,1,January,2465.5999999999985,3657.9,701.0000000000001
24,2010,2,February,2356.9,3347.2999999999993,736.5999999999998
25,2010,3,March,2387.9999999999995,3501.9999999999995,353.59999999999997
26,2010,4,April,2063.300000000001,3121.7999999999993,237.6
27,2010,5,May,1757.0,2816.2999999999997,316.4
28,2010,6,June,1344.4,2380.1000000000004,276.40000000000003
29,2010,7,July,1413.1999999999996,2472.1000000000004,205.20000000000002
30,2010,8,August,1438.2,2505.1000000000004,206.79999999999998
31,2010,9,September,1640.1,2652.5,207.80000000000007
32,2010,10,October,1921.0000000000005,3028.4,416.80000000000007
33,2010,11,November,2073.7999999999993,3122.0999999999976,476.1999999999999
34,2010,12,December,2292.4999999999995,3383.4999999999995,645.8
35,2011,1,January,2490.4,3582.6999999999994,787.7999999999998
36,2011,2,February,2256.300000000001,3172.2,1297.4
37,2011,3,March,2296.7999999999997,3256.700000000001,535.3999999999999
38,2011,5,May,1557.0,2621.2,266.40000000000003
39,2011,6,June,1283.3000000000004,2380.6999999999994,163.6
40,2011,7,July,1348.1,2441.6000000000013,379.9999999999999
41,2011,8,August,1475.0000000000005,2697.999999999999,164.00000000000003
42,2011,9,September,1633.7999999999997,2840.2,193.60000000000002
43,2011,10,October,1962.3999999999996,3051.3999999999996,284.20000000000005
44,2011,11,November,2139.3000000000006,3280.3,434.39999999999986
45,2011,12,December,2284.0000000000014,3392.7000000000007,404.00000000000006
46,2012,1,January,2507.5000000000005,3634.4,645.4
47,2012,2,February,2265.8999999999996,3286.9000000000024,446.00000000000006
48,2012,3,March,2237.8999999999996,3296.7999999999993,965.3999999999999
49,2012,4,April,1909.9,3076.2000000000003,296.0
50,2012,5,May,1605.1000000000001,2701.4,233.6
51,2012,6,June,1291.5000000000005,2314.3,441.2
52,2012,7,July,1337.1999999999996,2434.1,181.4
53,2012,8,August,1328.999999999999,2553.900000000001,139.80000000000004
54,2012,9,September,1608.6000000000001,2835.8999999999996,106.00000000000001
55,2012,10,October,1848.4000000000005,3133.2000000000003,96.0
56,2012,11,November,2131.8999999999996,3268.5000000000014,184.00000000000003
57,2013,1,January,2450.3000000000015,3664.0,376.8
58,2013,3,March,2444.2999999999984,3547.0999999999995,507.6000000000001
59,2013,4,April,1947.899999999999,3081.4999999999995,362.5999999999999
60,2013,5,May,1787.3999999999999,2874.5999999999995,234.5999999999999
61,2013,6,June,1450.3000000000002,2453.499999999999,493.20000000000005
62,2013,7,July,1466.9,2575.5000000000005,214.2
63,2013,8,August,1498.9999999999995,2692.199999999999,160.40000000000003
64,2013,9,September,1828.4000000000003,3002.8,165.80000000000004
65,2013,10,October,1924.6999999999996,3161.6,224.60000000000005
66,2013,11,November,1993.6000000000004,3119.6000000000013,571.3999999999999
67,2013,12,December,2273.7999999999997,3478.1999999999985,299.0
68,2014,1,January,2492.7999999999997,3706.9,649.8000000000001
69,2014,2,February,2229.7999999999993,3238.100000000002,551.0000000000002
70,2014,3,March,2305.3000000000006,3475.3999999999996,240.2
71,2014,4,April,2019.7999999999997,3026.699999999998,425.59999999999997
72,2014,5,May,1853.4000000000003,2966.6999999999994,135.6
73,2014,6,June,1504.9999999999998,2485.599999999999,225.60000000000005
74,2014,7,July,1374.1,2481.8,134.99999999999997
75,2014,8,August,1303.9999999999993,2601.7000000000003,273.1999999999999
76,2014,9,September,1624.900000000001,2860.7000000000003,116.00000000000004
77,2014,10,October,1930.000000000001,3335.4999999999986,158.60000000000002
78,2014,11,November,2103.5,3320.8999999999987,265.8
79,2014,12,December,2365.1000000000004,3466.9,275.20000000000005
80,2015,1,January,2052.8000000000006,2863.7000000000007,697.6000000000001
81,2015,2,February,1776.399999999999,2582.900000000001,412.79999999999995
82,2015,3,March,1808.0000000000002,2634.4000000000005,298.4
83,2015,4,April,1516.4,2292.7000000000003,445.3999999999999
84,2015,5,May,1345.9,2223.9,195.40000000000003
85,2015,6,June,1175.7000000000003,2004.1000000000001,126.40000000000003
86,2015,7,July,1043.3,1966.1000000000004,120.6
87,2015,8,August,1163.8,2076.5000000000005,120.39999999999999
88,2015,9,September,1290.7000000000003,2191.9000000000005,135.60000000000002
89,2015,10,October,1703.5,2659.6,94.6
90,2015,11,November,1728.8999999999994,2621.3999999999996,216.6
91,2015,12,December,1886.3999999999999,2817.7000000000016,619.0000000000001
92,2016,1,January,1975.7999999999997,2838.9,472.40000000000003
93,2016,2,February,1810.4000000000003,2638.400000000001,194.60000000000002
94,2016,3,March,1942.2999999999993,2764.0000000000005,362.8
95,2016,4,April,1632.9,2522.999999999999,211.0
96,2016,5,May,1912.8999999999994,2938.4999999999995,214.60000000000005
97,2016,6,June,1525.7000000000005,2472.3,454.59999999999997
98,2016,7,July,1427.7,2478.9000000000005,280.8
99,2016,8,August,1430.7999999999995,2644.1,271.40000000000003
100,2016,9,September,1704.8000000000004,2662.200000000001,352.79999999999995
101,2016,10,October,1847.4999999999998,3035.099999999998,306.6
102,2016,11,November,1997.6000000000001,3161.400000000001,300.0
103,2016,12,December,2330.8000000000006,3562.8999999999996,598.1999999999999
104,2017,1,January,2529.7999999999993,3680.600000000001,597.8000000000001
105,2017,2,February,2182.5,3209.1000000000004,903.5999999999999
106,2017,3,March,2438.4000000000005,3528.2000000000003,850.7999999999997
107,2017,4,April,1929.3999999999992,2999.6999999999985,424.0
108,2017,5,May,1667.9000000000005,2806.7,106.60000000000001
109,2017,6,June,1064.9,2012.3999999999999,185.99999999999997
