,Year,Month,MinTemp,MaxTemp,Rainfall
0,2008,2,536.6000000000001,717.8000000000001,258.4
1,2008,3,538.3,777.1,63.4
2,2008,4,417.19999999999993,645.4999999999999,146.60000000000002
3,2008,5,353.3999999999999,636.6,3.0
4,2008,6,357.2999999999999,558.2,127.2
5,2008,7,257.0,533.6,89.60000000000001
6,2008,8,251.9,537.6,44.2
7,2008,9,367.1000000000001,641.4000000000001,99.19999999999999
8,2008,10,450.5,718.0999999999999,66.60000000000001
9,2008,11,500.49999999999994,709.8999999999999,73.20000000000002
10,2008,12,560.4000000000001,803.0,54.199999999999996
11,2009,1,616.5,854.7,24.799999999999997
12,2009,2,551.6999999999999,719.9999999999999,127.60000000000002
13,2009,3,585.5999999999999,788.1000000000001,60.6
14,2009,4,471.49999999999994,683.2000000000002,152.60000000000002
15,2009,5,387.19999999999993,642.0999999999999,125.79999999999998
16,2009,6,308.29999999999995,535.6,129.8
17,2009,7,286.59999999999997,566.0,53.0
18,2009,8,321.20000000000005,647.1,6.000000000000001
19,2009,9,404.40000000000003,691.5,16.0
20,2009,10,436.9,663.3999999999999,180.0
21,2009,11,560.0,781.6,13.199999999999998
22,2009,12,568.8,736.8,66.8
23,2010,1,641.0,855.6,35.99999999999999
24,2010,2,593.0999999999999,766.8,239.39999999999998
25,2010,3,598.5999999999999,797.3,51.4
26,2010,4,460.4,738.6,30.000000000000004
27,2010,5,375.2,639.2,168.4
28,2010,6,287.99999999999994,531.9,147.20000000000002
29,2010,7,285.59999999999997,528.9999999999999,114.40000000000002
30,2010,8,293.2000000000001,566.2,26.999999999999993
31,2010,9,356.2,628.9000000000002,42.2
32,2010,10,461.59999999999997,680.6,85.0
33,2010,11,506.49999999999994,705.2,129.6
34,2010,12,586.4,799.5000000000001,83.2
35,2011,1,647.3,848.5999999999998,53.80000000000001
36,2011,2,592.1,795.7,18.0
37,2011,3,594.0999999999999,806.3000000000001,191.60000000000005
38,2011,5,332.00000000000006,603.5999999999999,135.60000000000002
39,2011,6,308.80000000000007,541.0000000000001,93.8
40,2011,7,265.8,538.5,282.2
41,2011,8,330.3,612.6,52.20000000000001
42,2011,9,375.49999999999994,650.5,71.6
43,2011,10,446.5,687.5000000000001,37.39999999999999
44,2011,11,534.7000000000002,756.1999999999997,148.39999999999998
45,2011,12,518.2,717.1000000000001,78.40000000000002
46,2012,1,607.1,808.0,138.8
47,2012,2,558.1,747.4999999999999,111.0
48,2012,3,550.7000000000002,765.3,269.7999999999999
49,2012,4,464.0,707.4,148.2
50,2012,5,346.4,649.0000000000001,37.199999999999996
51,2012,6,291.7,531.8,244.20000000000005
52,2012,7,277.3,547.0,56.199999999999996
53,2012,8,290.3999999999999,616.8000000000001,19.0
54,2012,9,360.9,673.6999999999999,23.799999999999997
55,2012,10,427.00000000000006,721.2,29.400000000000002
56,2012,11,505.29999999999995,723.6,52.0
57,2013,1,635.1999999999999,856.1,137.8
58,2013,3,587.0,818.2999999999998,65.6
59,2013,4,447.39999999999986,719.4,199.79999999999995
60,2013,5,369.40000000000003,661.1999999999999,110.2
61,2013,6,323.49999999999994,542.9000000000001,316.40000000000003
62,2013,7,302.50000000000006,603.0999999999999,32.599999999999994
63,2013,8,326.59999999999997,653.1,14.8
64,2013,9,413.7999999999999,732.6999999999997,35.800000000000004
65,2013,10,465.1,796.9,42.199999999999996
66,2013,11,492.4,718.9999999999998,192.79999999999998
67,2013,12,575.5999999999999,817.7000000000002,31.000000000000004
68,2014,1,613.8,832.5999999999999,17.4
69,2014,2,556.6999999999998,734.7,58.2
70,2014,3,593.7,817.4000000000002,102.60000000000001
71,2014,4,475.79999999999995,715.3,121.00000000000001
72,2014,5,405.5,717.9000000000001,27.4
73,2014,6,330.9,587.7999999999998,68.00000000000001
74,2014,7,276.0,587.5,16.4
75,2014,8,298.3,568.6,215.19999999999993
76,2014,9,370.0,656.4,50.40000000000001
77,2014,10,468.9,766.3,86.60000000000001
78,2014,11,518.7000000000002,771.6999999999998,16.0
79,2014,12,592.9999999999999,801.0,118.0
80,2015,1,633.3,853.5999999999998,165.8
81,2015,2,572.0999999999999,756.5,59.0
82,2015,3,568.2,830.8,65.2
83,2015,4,458.5,680.7999999999998,366.79999999999995
84,2015,5,387.0,640.3000000000001,109.80000000000001
85,2015,6,301.40000000000003,558.4,110.60000000000001
86,2015,7,247.99999999999997,540.2,46.99999999999999
87,2015,8,299.9000000000001,600.8,71.8
88,2015,9,357.00000000000006,620.0,80.00000000000001
89,2015,10,522.6,773.1999999999999,43.0
90,2015,11,531.7,784.9,122.60000000000004
91,2015,12,568.8,809.1000000000001,96.6
92,2016,1,605.8000000000001,849.7000000000002,249.8
93,2016,2,598.3000000000001,817.9999999999999,25.8
94,2016,3,609.4,829.9000000000001,193.2
95,2016,4,505.9000000000001,742.4,155.00000000000003
96,2016,5,410.9,709.2999999999997,7.200000000000001
97,2016,6,328.5999999999999,568.4999999999999,305.0
98,2016,7,308.5,574.6999999999998,104.6
99,2016,8,302.79999999999995,593.6,151.4
100,2016,9,389.9,643.0,70.00000000000001
101,2016,10,444.2,740.5,31.400000000000002
102,2016,11,519.9000000000001,783.9,27.200000000000003
103,2016,12,621.3000000000001,872.0,65.0
104,2017,1,668.3000000000001,918.4000000000001,48.4
105,2017,2,588.8000000000002,797.6000000000001,205.2
106,2017,3,620.2,792.6999999999997,326.5999999999999
107,2017,4,438.59999999999985,713.6,82.60000000000001
108,2017,5,387.30000000000007,658.3999999999999,30.000000000000004
109,2017,6,259.3,463.6000000000001,173.0
